quote
Moussaillon
Moussaillon de malheur
Moussaillon du diable
Mufle
MRKRPXZKRMTFRZ
Mussolini de carnaval
Naufrageur
Négrier
Noix de coco
Nom d'une pipe
Nyctalope
Olibrius (voir aussi : bougre d'olibrius)
Ophicléide
Ornithorynque (voir aussi : petit ornithorynque)
oryctérope (voir aussi : sombre oryctérope)
Ostrogoth
Ours mal léché
Pachyderme
Pacte à quatre
Paltoquet
Pantoufle
Papou
Papou des Carpathes (voir aussi : bougre de papou des Carpathes)
Paranoïaque
Parasites
Patagon
Patagon de Zoulou
Patapouf
Patate
Pauvre bougre
Pauvre type
Peau-rouge
Père volant
Péronnelle
Perruche bavarde (Vieille –)
Perroquet déplumé
Petit choléra
Petit délicat
Petit ornithorynque
Petite tigresse
Petit vaurien
Phénomène
Phlébotome
Phylactère
Phylloxéra
Pignouf
Pirate
Pirate d'eau douce
Pirate du ciel
Plein le dos
Pleurnichard
Polichinelle (voir : grotesque polichinelle)
Polygraphe
Porc-épic mal embouché
Potentat
Poussière
Profiteur
Projectile guidé
Protozoaire
Pyromane
Pyrophore
Que diable
Que le grand cric me croque et me fasse avaler ma barbe
Rapace
Rat
Ravachol
Renégat
Rhizopode
Rocaille de tonnerre de Brest
Rocambole
Sacré mitrailleur à bavette
Sacripant
Sajou
Sale bête
Saleté d'appareil à sous
Sale vilaine bête de tonnerre de Brest
Saltimbanque
Sapajou
Sapristi
Satané —
Satrape
Sauvage
Sauvage d'aérolithe
Scélérat
Schizophrène
Scolopendre
Scorpion
Sémaphore
Serpent
Simili-Martien à la graisse de cabestan
Sinapisme
Sinistre farceur
Sombre brute
Sombre oryctérope
Soulographe
Sous-produit d'ectoplasme
Tas de cornichons
Tas de sauvages
Tchouk-tchouk-nougat
Technocrate
Terroriste
Tête de lard
Tête de mule
Têtu comme une mule
Tigresse
Tonnerre
Tonnerre de Brest
Tonnerre de tonnerre de Brest
Topinambour
Tortionnaire
Trafiquant de chair humaine
Traîne-potence
Traître
Tricheur
Troglodyte
Trompe-la-mort
Troufignol
Vampire
Vandale
Va-nu-pieds
Vaurien (voir aussi : graine de vaurien)
Végétarien
Ver de terre
Vercingétorix de carnaval
Vermicelles
Vermine
Vieille baderne
Vieille branche
Vieille coque rouillée
Vieille marmotte
Vieille perruche bavarde
Vieux farceur
Vieux frère
Vieux rafiot que je suis
Vipère
Vivisectionniste
Volatile de malheur
Voleur
Voleur d'enfants
Wisigoths
Zapotèque (voir : bande de zapotèques)
Zèbre
Zigomar
Zouave (voir aussi : bougre de zouave)
Zouave interplanétaire
Zouave à la noix de coco
Zoulou
